The start time is: Sun, 19 Jun 2022 15:20:23
Input file: C:\Users\Sumpaame\Desktop\FYP\PubChem_compound_2100.sdf
Output file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\output.txt
Report file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\report.txt

ReadIn_ID	USER_ID	Status	Time(s)
474		Ok	0.047
473		Ok	0.015
472		Ok	0.016
471		Ok	0.078
470		Ok	0.016
469		Ok	0.078
468		Ok	0.016
467		Ok	0.062
466		Ok	0.016
465		Ok	0
464		Ok	0.094
463		Ok	0.093
462		Ok	0.094
461		Ok	0.016
460		Ok	0.078
459		Ok	0.015
458		Ok	0.016
457		Ok	0
456		Ok	0.062
455		Ok	0.016
454		Ok	0.063
453		Ok	0.015
452		Ok	0.016
451		Ok	0.203
450		Ok	0.078
449		Ok	0
448		Ok	0.047
447		Ok	0.016
446		Ok	0.062
445		Ok	0.016
444		Ok	0.031
443		Ok	0.016
442		Ok	0.062
441		Ok	0.016
440		Ok	0.078
439		Ok	0.062
438		Ok	0.047
437		Ok	0.016
436		Ok	0.156
435		Ok	0.016
434		Ok	0.094
433		Ok	0.031
432		Ok	0.422
431		Ok	0.062
430		Ok	0.047
429		Ok	0.016
428		Ok	0.015
427		Ok	0.078
426		Ok	0.078
425		Ok	0.016
424		Ok	0.078
423		Ok	0.094
422		Ok	0.078
421		Ok	0.016
420		Ok	0.015
419		Ok	0.063
418		Ok	0.078
417		Ok	0.016
416		Ok	0.031
415		Ok	0.062
414		Ok	0.016
413		Ok	0.062
412		Ok	0.016
411		Ok	0
410		Ok	0.063
409		Ok	0.015
408		Ok	0.057
407		Ok	0.071
406		Ok	0.139
405		Ok	0
404		Ok	0.016
403		Ok	0.078
402		Ok	0.093
401		Ok	0.172
400		Ok	0.016
399		Ok	0
398		Ok	0.094
397		Ok	0.062
396		Ok	0.031
395		Ok	0.079
394		Ok	0.078
393		Ok	0.015
392		Ok	0.016
391		Ok	0.047
390		Ok	0.015
389		Ok	0.016
388		Ok	0.063
387		Ok	0.015
386		Ok	0.016
385		Ok	0.172
384		Ok	0
383		Ok	0.015
382		Ok	0.063
381		Ok	0.015
380		Ok	0.016
379		Subgroup deleted	0.063
378		Subgroup deleted	0.015
377		Ok	0.016
376		Ok	0.047
375		Ok	0.015
374		Ok	0.016
373		Ok	0
372		Ok	0.063
371		Ok	0.124
370		Ok	0.079
369		Ok	0.015
368		Ok	0.016
367		Ok	0
366		Ok	0.094
365		Ok	0
364		Ok	0.031
363		Ok	0.015
362		Ok	0
361		Ok	0.032
360		Ok	0.015
359		Ok	0
358		Ok	0.016
357		Ok	0.031
356		Ok	0.016
355		Ok	0.016
354		Ok	0.062
353		Ok	0
352		Ok	0.063
351		Ok	0.046
350		Ok	0
349		Ok	0.016
348		Ok	0.031
347		Ok	0.016
346		Ok	0.016
345		Ok	0
344		Ok	0.046
343		Ok	0.016
342		Ok	0
341		Ok	0.047
340		Ok	0
339		Ok	0.016
338		Ok	0.046
337		Ok	0.016
336		Ok	0.078
335		Ok	0
334		Ok	0.031
333		Ok	0.079
332		Ok	0.328
331		Ok	0.125
330		Ok	0.063
329		Ok	0.062
328		Ok	0.032
327		Subgroup deleted	0.062
326		Subgroup deleted	0.016
325		Subgroup deleted	0.078
324		Subgroup deleted	0
323		Subgroup deleted	0.016
322		Subgroup deleted	0.125
321		Subgroup deleted	0.015
320		Ok	0.016
319		Ok	0.062
318		Subgroup deleted	0
317		Subgroup deleted	0.032
316		Subgroup deleted	0.109
315		Ok	0.016
314		Ok	0.171
313		Ok	0.11
312		Ok	0.032
311		Ok	0.015
310		Ok	0.047
309		Ok	0.016
308		Ok	0.047
307		Ok	0.015
306		Ok	0.094
305		Ok	0.078
304		Ok	0.016
303		Ok	0.015
302		Ok	0.079
301		Ok	0.062
300		Ok	0.016
299		Ok	0.015
298		Ok	0.032
297		Ok	0.015
296		Ok	0.063
295		Ok	0.015
294		Ok	0.11
293		Ok	0.015
292		Ok	0.094
291		Ok	0.063
290		Ok	0.031
289		Ok	0.062
288		Ok	0.063
287		Ok	0.094
286		Ok	0.015
285		Ok	0.063
284		Ok	0.015
283		Ok	0.016
282		Ok	0.08
281		Ok	0.063
280		Ok	0.015
279		Subgroup deleted	0.048
278		Ok	0.076
277		Ok	0.094
276		Ok	0.094
275		Subgroup deleted	0.078
274		Subgroup deleted	0.016
273		Subgroup deleted	0.062
